                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.6164,                 1.6936,                 1.4665,                0.33622,                0.44119,                0.37081,                0.18363,                 1.5538,                 1.6963,                 1.5028,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.6031,                  1.683,                  1.458,                0.65972,                0.45518,                0.44233,                0.22932,                 1.5188,                 1.4815,                 1.4698,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.5901,                 1.6591,                  1.452,                0.67637,                0.44332,                0.45846,                0.23738,                 1.5208,                 1.4693,                  1.454,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.5982,                 1.6472,                 1.4455,                0.35038,                0.47692,                0.42495,                0.22019,                 1.4996,                 1.5078,                 1.4487,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.5803,                 1.6161,                 1.4306,                0.46898,                0.55923,                0.47608,                0.24833,                 1.5015,                 1.4479,                 1.4592,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.5724,                 1.6097,                 1.4326,                 0.6985,                0.45446,                0.48182,                0.25417,                  1.509,                 1.4386,                 1.4418,             0.00043126,             0.00043126,             0.00043126
                     23,                  1.563,                 1.5941,                 1.4282,                0.52652,                0.46779,                0.44202,                0.22457,                 1.5223,                 1.5065,                 1.4529,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.5583,                 1.5873,                 1.4275,                0.58887,                0.48841,                0.48357,                0.26526,                  1.501,                 1.4073,                 1.4596,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.5387,                 1.5587,                 1.4146,                0.64802,                0.45021,                0.43137,                0.23086,                 1.5118,                 1.4493,                 1.4506,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.5399,                 1.5429,                 1.4113,                0.70943,                0.45662,                0.46485,                0.25176,                 1.4907,                 1.3901,                 1.4274,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.5356,                 1.5398,                 1.4014,                0.72425,                0.45348,                0.47432,                 0.2541,                 1.4801,                 1.3792,                 1.4203,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.5382,                 1.5445,                 1.4122,                0.45686,                0.55072,                0.48548,                0.25474,                 1.4745,                 1.4082,                 1.4318,             0.00034643,             0.00034643,             0.00034643
                     29,                  1.528,                  1.536,                 1.4039,                0.69724,                0.45006,                0.48044,                0.25502,                 1.4972,                 1.3952,                 1.4289,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.5239,                 1.5204,                 1.3955,                0.45273,                0.47919,                0.49725,                0.26524,                 1.4582,                 1.3297,                 1.4171,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.5122,                 1.5083,                 1.3821,                 0.7174,                0.45993,                0.48174,                0.25799,                 1.4859,                 1.3594,                  1.435,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.4934,                 1.4972,                 1.3834,                0.68778,                0.48143,                0.48254,                0.25747,                 1.4604,                 1.3949,                 1.4193,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.5041,                 1.4897,                 1.3821,                0.70187,                0.48446,                0.50257,                0.26082,                 1.4679,                 1.3453,                 1.4233,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.4924,                  1.477,                 1.3815,                0.44583,                 0.4846,                0.50482,                0.27586,                  1.444,                 1.3344,                 1.4029,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.4881,                 1.4684,                 1.3776,                0.71277,                0.46387,                0.48393,                0.26498,                 1.4495,                 1.3655,                  1.406,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.4753,                 1.4473,                 1.3631,                0.71358,                0.48549,                0.50588,                0.27389,                 1.4777,                 1.3134,                 1.4177,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.4716,                 1.4455,                 1.3602,                 0.4751,                0.49182,                0.50146,                0.27476,                 1.4492,                 1.3369,                 1.4048,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.4686,                 1.4267,                 1.3623,                0.44247,                0.48813,                0.48341,                0.26553,                  1.466,                 1.3062,                 1.4182,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.4637,                 1.4203,                 1.3567,                0.46574,                0.48294,                 0.5153,                0.27988,                 1.4475,                 1.3066,                 1.4129,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.4572,                 1.4159,                  1.352,                0.73505,                0.44984,                0.52316,                0.28718,                  1.442,                 1.2771,                 1.4028,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.4074,                 1.3286,                 1.3573,                0.39456,                0.54593,                0.51034,                0.27777,                 1.4595,                 1.2748,                 1.4238,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.3976,                 1.2995,                 1.3561,                0.43627,                 0.5564,                0.49369,                 0.2667,                 1.4612,                 1.2992,                 1.4159,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.3861,                 1.2832,                 1.3497,                0.43772,                0.51765,                0.52066,                0.28516,                 1.4391,                 1.2865,                 1.4057,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.3711,                 1.2799,                 1.3373,                0.43748,                0.57199,                0.51942,                0.28366,                 1.4432,                 1.2494,                 1.3999,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.3702,                 1.2525,                  1.329,                0.42438,                0.56637,                0.50849,                0.27596,                 1.4336,                 1.2495,                 1.4042,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.3586,                 1.2337,                  1.329,                0.43809,                0.50859,                 0.5061,                0.27455,                 1.4529,                 1.2474,                 1.4047,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.3588,                 1.2282,                 1.3268,                0.73295,                0.44618,                0.49708,                0.27124,                 1.4473,                  1.265,                 1.3993,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.3447,                 1.2267,                 1.3144,                0.47778,                0.45731,                0.50607,                0.27773,                 1.4515,                 1.2342,                 1.4136,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                  1.345,                 1.2058,                 1.3157,                0.47225,                0.50383,                0.51421,                0.28173,                 1.4389,                 1.2246,                  1.402,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.3292,                 1.2069,                 1.3088,                0.72504,                0.48612,                0.51171,                0.27928,                 1.4455,                 1.2305,                 1.4057,             3.5414e-05,             3.5414e-05,             3.5414e-05
