                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1904,                 3.6663,                 1.9346,                0.49039,                0.29032,                0.20379,                0.08937,                 1.8257,                 2.3678,                 1.6273,             0.00023701,             0.00023701,             0.00023701
                      2,                 1.8966,                  2.614,                 1.6514,                0.52382,                0.32463,                0.24117,                0.10481,                 1.7693,                 2.2135,                 1.6585,             0.00046561,             0.00046561,             0.00046561
                      3,                 1.8731,                 2.3301,                 1.6312,                 0.2643,                 0.3278,                0.24283,                0.10693,                  1.785,                 2.0368,                 1.6657,             0.00068478,             0.00068478,             0.00068478
                      4,                 1.8474,                 2.1618,                 1.6119,                0.57214,                0.33742,                0.29457,                 0.1318,                 1.7114,                 1.9048,                 1.6047,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.8032,                 2.0461,                 1.5939,                0.55572,                0.36573,                0.29728,                0.13202,                 1.7483,                 1.9362,                 1.6314,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.7665,                 1.9771,                 1.5684,                0.62391,                0.40986,                0.39491,                0.18711,                 1.6455,                 1.6993,                 1.5551,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.7496,                 1.9246,                 1.5477,                0.57463,                0.37686,                 0.3323,                0.15925,                 1.6526,                 1.7999,                 1.5709,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.7289,                 1.8931,                 1.5325,                 0.6356,                0.38403,                0.39943,                0.18302,                 1.6022,                  1.702,                 1.5432,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.7057,                 1.8352,                 1.5224,                0.63089,                0.36515,                0.37484,                0.17936,                 1.6442,                 1.6472,                 1.5695,             0.00061504,             0.00061504,             0.00061504
                     10,                  1.688,                  1.815,                 1.5189,                0.68839,                0.37779,                0.38602,                 0.1873,                 1.5725,                 1.5621,                 1.4993,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.6715,                 1.7887,                 1.4991,                 0.6591,                0.35905,                0.38826,                0.18776,                  1.571,                 1.6522,                  1.502,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.6606,                 1.7679,                 1.4961,                0.56651,                 0.4043,                0.33591,                0.16111,                 1.6524,                 1.7443,                 1.5834,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.6522,                  1.757,                 1.4918,                0.64574,                0.41985,                0.41403,                0.20904,                 1.5769,                 1.5795,                 1.5208,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.6359,                 1.7366,                 1.4815,                0.66257,                 0.4227,                0.42715,                0.21022,                  1.519,                 1.5382,                 1.4422,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.6321,                 1.7235,                  1.478,                0.63848,                0.41482,                0.42316,                0.20474,                 1.5688,                 1.5264,                 1.5093,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.6166,                 1.6855,                 1.4615,                0.41162,                 0.4339,                0.42896,                0.22692,                 1.5236,                 1.4633,                 1.4649,             0.00051608,             0.00051608,             0.00051608
