                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9022,                 2.0904,                 1.6489,                0.26854,                0.27362,                0.18726,                0.06151,                 2.2657,                 2.6142,                 2.0402,             0.00026161,             0.00026161,             0.00026161
                     35,                   1.87,                 2.0648,                 1.6155,                 0.2159,                0.34283,                0.17875,                0.06266,                  2.237,                 2.6448,                 2.0049,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.8927,                 2.0183,                 1.6133,                 0.2614,                0.35651,                0.22875,                0.07619,                 2.2672,                 2.5204,                 1.9929,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.8869,                 2.0252,                 1.6242,                0.20743,                0.32676,                0.18315,                0.05516,                 2.3782,                 2.5289,                  2.102,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.8337,                 1.9797,                 1.5995,                0.28116,                 0.4048,                0.21603,                0.07461,                 2.3088,                  2.486,                 2.0414,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.8263,                 1.9509,                 1.5832,                0.23012,                0.39304,                 0.2337,                0.08554,                 2.2525,                 2.6039,                 2.0329,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.8114,                 1.9166,                 1.5938,                0.25923,                0.41905,                0.24382,                0.08312,                 2.3481,                 2.5148,                 2.0999,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.8147,                 1.9804,                 1.6897,                0.27508,                0.41671,                0.28462,                 0.0967,                 2.3061,                 2.4743,                 2.0635,             0.00016265,             0.00016265,             0.00016265
                     42,                  1.731,                 2.0461,                  1.614,                0.27004,                0.36279,                0.19631,                0.06168,                  2.361,                 2.5176,                 2.0783,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.7512,                 1.8812,                 1.6328,                0.35641,                0.32479,                0.21659,                0.07438,                 2.3087,                 2.5307,                 2.0578,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.7389,                 1.8356,                 1.6189,                0.30181,                0.37384,                0.25559,                0.07968,                 2.2849,                 2.4636,                 2.0572,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.7159,                  1.794,                 1.6135,                0.23224,                 0.3608,                0.19628,                0.06573,                 2.2991,                 2.4532,                 2.0699,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.6811,                 1.7452,                 1.5644,                0.26325,                 0.3552,                0.22063,                0.07184,                 2.3125,                 2.4984,                 2.0502,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                  1.667,                 1.6971,                 1.5725,                0.26391,                0.34651,                0.18688,                0.06441,                 2.3428,                 2.5063,                 2.0832,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.6934,                 1.6824,                 1.5786,                0.25024,                0.36819,                0.21371,                0.07452,                 2.3462,                 2.5076,                 2.0915,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.6743,                 1.6692,                 1.5773,                 0.2286,                0.38563,                0.20428,                0.06724,                 2.3017,                 2.5278,                 2.0443,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.6716,                 1.6662,                 1.5583,                0.29993,                0.31751,                0.20611,                0.06428,                  2.346,                 2.5107,                 2.0738,             3.5414e-05,             3.5414e-05,             3.5414e-05
